survey,count
0,51.30231162942967
1,51.04311692407665
2,51.53030346239443
3,49.44535701548388
4,48.357630501491954
5,50.09327570032634
6,49.317511469988375
7,50.64544643055044
8,52.92957236535408
9,50.10940320858301
10,47.919139791527094
11,48.91036529804083
12,48.43898563247851
13,48.357586036385015
14,48.292910981137
15,50.121365423783125
16,44.3049252237005
17,51.96355650969808
18,52.31771734610223
19,56.37438415949146
20,56.942915493252926
21,57.16040355690068
22,56.78144253834055
23,56.437916605211
24,57.05601721688292
25,57.79761251239305
26,57.38778836990182
27,58.20397335431719
28,58.282325766146506
29,58.68552967436029
30,58.57745302039682
31,60.111563486035976
32,60.495886564509405
33,61.56495966169663
34,62.51422841447533
35,63.73066303417793
36,63.89322831453928
37,64.1871196188768
38,65.45286046520835
39,66.1351460776315
40,68.5406730968621
41,68.96786155362264
42,70.00756039170125
43,70.58829684247021
44,71.50204668494122
45,70.97349179063643
46,73.74604581104344
47,74.19893576361497
48,74.58471114671565
49,75.33089327631157
50,75.24982896560816
51,75.10773504999001
52,76.09247341082994
53,76.55498997075046
54,75.97499510690523
55,75.46351242590312
56,76.11807426541556
57,76.12055385613611
58,75.80558666011667
59,75.84344487129006
60,75.89110446003045
61,75.83143889433036
62,74.78380622030326
63,74.21495621476726
64,74.78104177425936
65,75.6654041516251
66,74.57451100969672
67,74.59869551053059
68,74.90826699440342
69,74.66567050429286
70,74.46919731537339
71,74.38959136144331
72,74.33084559643878
73,73.76454384319626
74,73.98751731647938
75,74.03054510472255
76,74.40856336955852
77,74.24019714326867
78,74.09088405605453
79,74.55356362932186
80,74.33402001334547
81,74.58587289822424
82,75.11167825822095
83,76.27128268136126
84,75.89960321567953
